year_kyrBP	geologic_carbon_rate_PgCyr	geologic_carbon_cumulative_PgC	alk_to_dic_ratio	terrestrial_carbon_uptake_rate_PgCyr	terrestrial_carbon_uptake_cumulative_PgC	terrestrial_carbon_release_rate_PgCyr	terrestrial_carbon_release_cumulative_PgC	atmospheric_CO2_ppm	atmospheric_∆14C_permil	deep_atlantic_CO3_umolkg	deep_indian_CO3_umolkg	deep_south_pacific_CO3_umolkg	deep_south_pacific_CO3_umolkg
20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	187.948	413.373	107.636	92.0964	89.5112	88.8986
19.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	187.948	412.48	107.636	92.0964	89.5112	88.8986
19.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	187.948	411.874	107.636	92.0964	89.5112	88.8986
19.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	187.948	411.658	107.636	92.0964	89.5112	88.8986
19.6	0.0117627	0.0117627	1.0	0.0	0.0	0.0294063	0.0294063	187.961	411.654	107.636	92.0964	89.5112	88.8986
19.5	0.0	1.17627	0.0	0.0	0.0	0.0	2.94063	188.795	408.609	107.633	92.0941	89.509	88.8985
19.4	0.0	1.17627	0.0	0.0	0.0	0.0	2.94063	188.474	406.408	107.62	92.0848	89.5011	88.8957
19.3	0.0	1.17627	0.0	0.0	0.0	0.0	2.94063	188.349	403.832	107.607	92.0741	89.4934	88.8904
19.2	0.0	1.17627	0.0	0.0	0.0	0.0	2.94063	188.289	401.256	107.595	92.0646	89.4869	88.8842
19.1	0.0	1.17627	0.0	0.0	0.0	0.0	2.94063	188.254	400.446	107.587	92.0577	89.4811	88.8778
19.0	0.0	1.17627	0.0	0.0	0.0	0.0	2.94063	188.229	400.699	107.58	92.054	89.476	88.8717
18.9	0.0	1.17627	0.0	0.0	0.0	0.0	2.94063	188.21	399.053	107.575	92.052	89.4716	88.866
18.8	0.0	1.17627	0.0	0.0	0.0	0.0	2.94063	188.194	396.345	107.571	92.051	89.4677	88.861
18.7	0.0	1.17627	0.0	0.0	0.0	0.0	2.94063	188.18	394.499	107.568	92.0504	89.4645	88.8566
18.6	0.0	1.17627	0.0	0.0	0.0	0.0	2.94063	188.169	393.079	107.566	92.0502	89.4619	88.8528
18.5	0.0	1.17627	0.0	0.0	0.0	0.0	2.94063	188.159	391.713	107.564	92.0501	89.4597	88.8495
18.4	0.0	1.17627	0.0	0.00900756	0.00900756	0.0	2.94063	188.146	390.43	107.563	92.0501	89.458	88.8469
18.3	0.0	1.17627	0.0	0.0	0.900756	0.0	2.94063	187.885	387.652	107.563	92.0508	89.4573	88.8449
18.2	0.0	1.17627	0.0	0.0	0.900756	0.0	2.94063	187.978	383.153	107.567	92.0531	89.4587	88.8442
18.1	0.0	1.17627	0.0	0.0	0.900756	0.0	2.94063	188.011	379.509	107.571	92.0553	89.4603	88.8446
18.0	0.0	1.17627	0.0	0.0	0.900756	0.0	2.94063	188.025	376.134	107.574	92.0568	89.4617	88.8455
17.9	0.0	1.17627	0.0	0.0	0.900756	0.0	2.94063	188.031	375.234	107.577	92.0578	89.4631	88.8468
17.8	0.0	1.17627	0.0	0.0	0.900756	0.0	2.94063	188.035	375.858	107.579	92.0585	89.4643	88.8481
17.7	0.0	1.17627	0.0	0.0	0.900756	0.0	2.94063	188.037	373.96	107.581	92.059	89.4654	88.8494
17.6	0.0	1.17627	0.0	0.0	0.900756	0.0	2.94063	188.039	370.676	107.583	92.0594	89.4665	88.8507
17.5	0.273447	1.44972	1.05262	0.0	0.900756	0.0	2.94063	188.041	370.804	107.584	92.0597	89.4675	88.8519
17.4	0.483656	29.0046	1.22695	0.0	0.900756	0.0	2.94063	190.815	404.214	107.761	92.1691	89.4841	88.8414
17.3	0.424182	77.3108	1.20727	0.0	0.900756	0.0	2.94063	191.729	413.537	107.821	92.3045	89.6753	89.1581
17.2	0.460786	119.766	1.05928	0.0	0.900756	0.0	2.94063	192.245	418.496	107.762	92.4603	90.0304	89.7496
17.1	0.692987	166.076	1.09958	0.0	0.900756	0.0	2.94063	192.809	420.963	107.632	92.6611	90.5257	90.4562
17.0	0.498428	235.18	1.0	0.0	0.900756	0.0185203	2.95915	193.577	421.334	107.478	92.9569	91.1195	91.261
16.9	0.273261	284.798	1.0	0.0	0.900756	0.0602926	4.85296	195.12	414.632	107.332	93.3306	91.7977	92.0789
16.8	0.222174	312.073	1.0	0.0	0.900756	0.0593444	10.8813	197.84	402.788	107.207	93.7688	92.4852	92.8004
16.7	0.184404	334.253	1.0	0.0	0.900756	0.0748193	16.8312	200.085	391.144	107.102	94.2494	93.1674	93.5183
16.6	0.221608	352.73	1.0	0.0	0.900756	0.109692	24.348	202.635	378.056	107.017	94.7582	93.8435	94.2252
16.5	0.504724	375.174	1.12424	0.0	0.900756	0.0	35.2075	205.953	375.715	106.95	95.2837	94.4979	94.9154
16.4	0.637928	425.78	1.00748	0.0	0.900756	0.0	35.2075	205.552	386.321	106.902	95.7727	95.1471	95.6116
