year_kyrBP	geologic_carbon_rate_PgCyr	geologic_carbon_cumulative_PgC	alk_to_dic_ratio	terrestrial_carbon_uptake_rate_PgCyr	terrestrial_carbon_uptake_cumulative_PgC	terrestrial_carbon_release_rate_PgCyr	terrestrial_carbon_release_cumulative_PgC	atmospheric_CO2_ppm	atmospheric_∆14C_permil	intNP_∆14C_permil	deep_atlantic_CO3_umolkg	deep_indian_CO3_umolkg	deep_south_pacific_CO3_umolkg	deep_north_pacific_CO3_umolkg
20.0	0.0	0.0	0.0	0.0	0.0	0	0	187.948	365.085	15.9048	107.636	92.0964	89.5112	88.8986
19.9	0.0	0.0	0.0	0.0	0.0	0	0	187.948	364.222	15.7588	107.636	92.0964	89.5112	88.8986
19.8	0.0	0.0	0.0	0.0	0.0	0	0	187.948	363.638	15.6176	107.636	92.0964	89.5112	88.8986
19.7	0.0	0.0	0.0	0.0	0.0	0	0	187.948	363.429	15.4963	107.636	92.0964	89.5112	88.8986
19.6	0.0	0.0	0.0	0.0	0.0	0	0	187.948	363.507	15.4101	107.636	92.0964	89.5112	88.8986
19.5	0.0	0.0	0.0	0.0	0.0	0	0	187.948	361.776	15.3344	107.636	92.0964	89.5112	88.8986
19.4	0.0	0.0	0.0	0.0	0.0	0	0	187.948	358.969	15.1783	107.636	92.0964	89.5112	88.8986
19.3	0.0	0.0	0.0	0.0	0.0	0	0	187.948	356.401	14.9169	107.636	92.0964	89.5112	88.8986
19.2	0.0	0.0	0.0	0.0	0.0	0	0	187.948	353.856	14.5704	107.636	92.0964	89.5112	88.8986
19.1	0.0	0.0	0.0	0.0	0.0	0	0	187.948	353.032	14.1716	107.636	92.0964	89.5112	88.8986
19.0	0.0	0.0	0.0	0.0	0.0	0	0	187.948	353.243	13.8067	107.636	92.0964	89.5112	88.8986
18.9	0.0	0.0	0.0	0.0	0.0	0	0	187.948	351.625	13.4738	107.636	92.0964	89.5112	88.8986
18.8	0.0	0.0	0.0	0.0	0.0	0	0	187.948	348.984	13.0782	107.636	92.0964	89.5112	88.8986
18.7	0.0	0.0	0.0	0.0	0.0	0	0	187.948	347.18	12.6065	107.636	92.0964	89.5112	88.8986
18.6	0.0	0.0	0.0	0.0	0.0	0	0	187.948	345.791	12.1058	107.636	92.0964	89.5112	88.8986
18.5	0.0	0.0	0.0	0.0	0.0	0	0	187.948	344.457	11.5902	107.636	92.0964	89.5112	88.8986
18.4	0.0	0.0	0.0	0.0	0.0	0	0	187.948	343.18	11.0617	107.636	92.0964	89.5112	88.8986
18.3	0.0	0.0	0.0	0.0	0.0	0	0	187.948	340.131	10.4934	107.636	92.0964	89.5112	88.8986
18.2	0.0	0.0	0.0	0.0	0.0	0	0	187.948	335.986	9.80124	107.636	92.0964	89.5112	88.8986
18.1	0.0	0.0	0.0	0.0	0.0	0	0	187.948	332.483	8.97082	107.636	92.0964	89.5112	88.8986
18.0	0.0	0.0	0.0	0.0	0.0	0	0	187.948	329.233	8.04556	107.636	92.0964	89.5112	88.8986
17.9	0.0	0.0	0.0	0.0	0.0	0	0	187.948	328.371	7.0785	107.636	92.0964	89.5112	88.8986
17.8	0.0	0.0	0.0	0.0	0.0	0	0	187.948	328.979	6.18802	107.636	92.0964	89.5112	88.8986
17.7	0.0	0.0	0.0	0.0	0.0	0	0	187.948	327.149	5.37334	107.636	92.0964	89.5112	88.8986
17.6	0.0	0.0	0.0	0.0	0.0	0	0	187.948	323.978	4.50658	107.636	92.0964	89.5112	88.8986
17.5	0.0	0.0	0.0	0.0	0.0	0	0	187.948	324.104	3.60447	107.636	92.0964	89.5112	88.8986
17.4	0.0	0.0	0.0	0.0	0.0	0	0	190.68	356.786	1.99181	107.812	92.2071	89.5236	88.8622
17.3	0.0	0.0	0.0	0.0	0.0	0	0	191.542	366.797	1.86103	107.871	92.3431	89.6804	89.0217
17.2	0.0	0.0	0.0	0.0	0.0	0	0	192.028	372.881	2.14054	107.809	92.4958	89.9298	89.3245
17.1	0.135732	0.135732	0.508308	0.0	0.0	0	0	192.504	376.748	2.55392	107.671	92.6836	90.262	89.7308
17.0	0.0281161	13.6013	0.0	0.0	0.0	0	0	193.173	378.893	-0.0465151	107.5	92.9299	90.6612	90.1582
16.9	0.0	16.3848	0.0	0.0	0.0	0	0	194.037	375.142	0.33264	107.328	93.267	91.095	90.6016
16.8	0.0	16.3848	0.0	0.0	0.0	0	0	194.988	367.428	0.96004	107.174	93.6599	91.5702	91.114
16.7	0.0	16.3848	0.0	0.0	0.0	0	0	196.005	358.509	0.974003	107.052	94.1052	92.0965	91.6926
16.6	0.0	16.3848	0.0	0.0	0.0	0	0	197.093	348.488	0.420551	106.97	94.595	92.6665	92.2496
16.5	0.125161	16.51	0.000597567	0.0	0.0	0	0	198.248	349.542	-0.504353	106.931	95.119	93.2593	92.8245
16.4	0.263331	29.1643	0.3773	0.0	0.0	0	0	199.607	357.857	-4.00301	106.936	95.6258	93.86	93.326
16.3	0.335774	55.5698	0.726403	0.0	0.0	0	0	201.282	362.56	-9.56742	106.979	96.1796	94.402	93.6706
16.2	0.264525	89.0759	0.284945	0.0	0.0	0	0	203.156	365.179	-15.3739	107.049	96.7639	94.8711	93.9716
16.1	0.105209	115.369	0.0	0.0	0.0	0	0	205.204	355.5	-18.4177	107.136	97.3527	95.2931	94.2036
16.0	0.0688321	125.854	0.0	0.0	0.0	0	0	207.323	337.677	-18.0629	107.232	97.9276	95.6582	94.3959
15.9	0.062679	132.731	0.0	0.0	0.0	0	0	209.369	328.413	-17.9214	107.331	98.4782	96.0091	94.6515
15.8	0.110709	139.047	0.0	0.0	0.0	0	0	211.343	324.47	-18.2005	107.429	98.9669	96.3756	94.9712
15.7	0.127698	150.135	0.126137	0.0	0.0	0	0	213.332	321.771	-19.8076	107.527	99.3985	96.755	95.281
15.6	0.131262	162.908	0.512796	0.0	0.0	0	0	215.382	320.078	-21.7134	107.623	99.83	97.1117	95.4949
15.5	0.120606	176.023	0.623247	0.0	0.0	0	0	217.428	317.584	-23.5175	107.718	100.259	97.4351	95.7076
15.4	0.195735	188.159	0.969652	0.0	0.0	0	0	219.421	314.682	-24.9795	107.809	100.713	97.7567	95.9962
15.3	0.309315	207.846	0.977778	0.0	0.0	0	0	221.342	313.365	-28.0262	107.899	101.164	98.1048	96.3785
15.2	0.408445	238.877	1.08001	0.0	0.0	0	0	223.225	313.001	-33.037	107.993	101.599	98.4981	96.8474
15.1	0.603791	279.917	1.15657	0.0	0.0	0	0	225.078	318.873	-39.1168	108.092	102.024	98.9403	97.4102
15.0	0.781369	340.473	1.20031	0.0	0.0	0	0	226.871	328.922	-47.6496	108.201	102.425	99.4517	98.1265
14.9	0.93484	418.764	1.25082	0.0	0.0	0	0	228.579	336.024	-57.4552	108.324	102.796	100.068	99.0364
14.8	0.843276	512.156	1.26855	0.0	0.0	0	0	230.162	341.294	-67.708	108.468	103.179	100.799	100.114
14.7	0.0	595.641	0.0	0.0	0.0	0	0	231.559	330.474	-73.5677	108.635	103.625	101.661	101.419
14.6	0.0	595.641	0.0	0.0	0.0	0	0	223.565	257.703	-62.1097	123.645	100.808	99.8884	102.024
14.5	0.0	595.641	0.0	0.0	0.0	0	0	220.976	230.461	-57.884	132.584	97.2873	98.0009	101.43
14.4	0.0	595.641	0.0	0.0	0.0	0	0	220.954	214.427	-56.8585	137.72	95.2553	97.3207	100.395
14.3	0.0	595.641	0.0	0.0	0.0	0	0	221.862	200.792	-57.3199	140.738	94.6872	97.2825	99.3671
14.2	0.0	595.641	0.0	0.0	0.0	0	0	223.051	189.217	-58.5251	142.461	94.8706	97.4941	98.5982
14.1	0.0	595.641	0.0	0.0	0.0	0	0	224.292	183.313	-60.003	143.354	95.4025	97.7771	98.0481
14.0	0.0	595.641	0.0	0.0	0.0	0	0	225.512	180.919	-61.3688	143.703	95.8877	98.0082	97.5702
13.9	0.0	595.641	0.0	0.0	0.0	0	0	226.701	176.327	-62.5494	143.689	96.4193	98.1395	97.1342
13.8	0.0	595.641	0.0	0.0	0.0	0	0	227.855	170.7	-63.7071	143.435	96.9124	98.1666	96.7131
13.7	0.0	595.641	0.0	0.0	0.0	0	0	228.974	166.644	-64.8772	143.02	97.3179	98.0981	96.2887
13.6	0.0	595.641	0.0	0.0	0.0	0	0	230.062	163.459	-66.007	142.5	97.6159	97.9459	95.8508
13.5	0.0	595.641	0.0	0.0	0.0	0	0	231.121	167.02	-66.9821	141.91	97.8028	97.7223	95.4069
13.4	0.0	595.641	0.0	0.0	0.0	0	0	232.155	174.665	-67.4965	141.275	97.884	97.467	95.0989
13.3	0.0	595.641	0.0	0.0	0.0	0	0	233.163	171.667	-67.6742	140.614	97.8706	97.1978	94.7692
13.2	0.0	595.641	0.0	0.0	0.0	0	0	236.79	193.649	-67.9319	133.344	97.9014	96.776	94.436
13.1	0.0	595.641	0.0	0.0897707	0.0897707	0	0	239.087	200.66	-67.1414	127.654	98.0202	96.5038	94.2431
13.0	0.0	595.641	0.0	0.0	8.97707	0	0	238.21	209.817	-65.8997	123.235	98.3806	96.4979	94.2009
12.9	0.0	595.641	0.0	0.063126	9.0402	0	0	240.691	214.549	-64.5267	119.825	98.8868	96.6883	94.3143
12.8	0.194936	595.836	1.31051	0.0	15.2897	0	0	240.362	223.034	-63.0716	117.208	99.4271	96.9699	94.5553
12.7	0.0675592	615.202	1.49072	0.0	15.2897	0	0	242.318	223.659	-65.6974	115.187	100.011	97.3293	94.957
12.6	0.0	621.89	0.0	0.0	15.2897	0	0	243.882	222.365	-65.1321	113.609	100.626	97.7775	95.4581
12.5	0.0	621.89	0.0	0.0	15.2897	0	0	245.303	221.817	-63.4214	112.409	101.253	98.2479	95.9087
12.4	0.0	621.89	0.0	0.0336902	15.3234	0	0	246.67	221.609	-62.1958	111.503	101.873	98.6894	96.3696
12.3	0.0	621.89	0.0	0.0335254	18.6922	0	0	246.98	221.281	-61.3492	110.829	102.469	99.1203	96.8309
12.2	0.15936	622.049	1.21434	0.0	22.0112	0	0	247.678	219.222	-60.9244	110.346	102.994	99.5748	97.2928
12.1	0.294913	638.121	1.12324	0.0	22.0112	0	0	249.595	217.352	-64.2283	110.013	103.507	100.052	97.7998
12.0	0.453384	667.771	1.29264	0.0	22.0112	0	0	251.266	216.829	-69.8668	109.786	104.004	100.546	98.3688
11.9	0.518601	713.174	1.18541	0.0	22.0112	0	0	252.796	217.011	-77.6849	109.642	104.487	101.077	99.0531
11.8	0.738997	765.255	1.21627	0.0	22.0112	0	0	254.258	217.661	-85.2611	109.568	104.994	101.654	99.7753
11.7	0.206503	838.622	0.528836	0.0	22.0112	0	0	255.706	225.675	-95.3598	109.557	105.521	102.288	100.641
11.6	0.0926362	859.159	0.0	0.0	22.0112	0	0	243.75	197.487	-92.201	121.471	102.549	100.186	100.803
11.5	0.0	868.33	0.0	0.0	22.0112	0	0	239.904	178.753	-90.2045	128.683	98.7771	97.9233	99.7647
11.4	0.0	868.33	0.0	0.0	22.0112	0	0	239.529	154.357	-88.8769	132.814	96.5627	96.878	98.4672
11.3	0.0	868.33	0.0	0.0	22.0112	0	0	240.331	143.081	-89.3728	135.212	95.5616	96.5543	97.3914
11.2	0.0	868.33	0.0	0.0	22.0112	0	0	241.523	139.139	-90.3973	136.534	95.4146	96.5451	96.497
11.1	0.0	868.33	0.0	0.0	22.0112	0	0	242.807	131.59	-91.5332	137.159	95.6251	96.6225	95.7783
11.0	0.0	868.33	0.0	0.0	22.0112	0	0	244.09	122.278	-92.9001	137.326	95.9893	96.6855	95.2469
10.9	0.0	868.33	0.0	0.0	22.0112	0	0	245.342	117.048	-94.4344	137.191	96.394	96.7313	94.9202
10.8	0.0	868.33	0.0	0.0	22.0112	0	0	246.553	114.128	-95.9125	136.86	96.7601	96.7286	94.5961
10.7	0.0	868.33	0.0	0.0	22.0112	0	0	247.723	110.223	-97.3051	136.404	97.049	96.6564	94.2633
10.6	0.0	868.33	0.0	0.0	22.0112	0	0	248.856	105.855	-98.702	135.867	97.2453	96.5137	93.9138
10.5	0.0	868.33	0.0	0.0	22.0112	0	0	249.958	103.249	-100.106	135.281	97.347	96.3063	93.5428
10.4	0.0	868.33	0.0	0.0	22.0112	0	0	251.034	101.672	-101.442	134.665	97.3589	96.0419	93.1482
10.3	0.0	868.33	0.0	0.0	22.0112	0	0	252.086	100.668	-102.69	134.032	97.2896	95.7283	92.7303
10.2	0.0	868.33	0.0	0.0	22.0112	0	0	253.118	99.5541	-103.849	133.39	97.1486	95.3859	92.2913
10.1	0.0	868.33	0.0	0.0	22.0112	0	0	254.131	97.3614	-104.98	132.746	96.9471	95.0916	91.8795
10.0	0.0	868.33	0.0	0.0	22.0112	0	0	255.119	94.8294	-106.13	132.105	96.6985	94.8311	91.6149
9.9	0.0	868.33	0.0	0.0	22.0112	0	0	256.08	92.1242	-107.32	131.476	96.4135	94.5375	91.3275
9.8	0.0	868.33	0.0	0.0	22.0112	0	0	257.016	89.2857	-108.556	130.868	96.0987	94.2069	91.0007
9.7	0.0	868.33	0.0	0.0	22.0112	0	0	257.932	86.34	-109.843	130.276	95.7593	93.8473	90.6425
9.6	0.0	868.33	0.0	0.0	22.0112	0	0	258.829	83.3087	-111.184	129.698	95.413	93.4647	90.2596
9.5	0.0	868.33	0.0	0.0	22.0112	0	0	259.709	80.2048	-112.579	129.133	95.1734	93.0656	89.8574
9.4	0.0	868.33	0.0	0.0	22.0112	0	0	260.565	77.8811	-114.012	128.582	94.9784	92.658	89.4415
9.3	0.0	868.33	0.0	0.0	22.0112	0	0	261.395	76.014	-115.441	128.047	94.7338	92.2458	89.0167
9.2	0.0	868.33	0.0	0.0	22.0112	0	0	262.208	74.3896	-116.847	127.525	94.442	91.8536	88.5975
9.1	0.0	868.33	0.0	0.0309011	22.0421	0	0	262.99	72.9805	-118.224	127.017	94.1194	91.5646	88.3249
9.0	0.0	868.33	0.0	0.0808256	25.1822	0	0	262.774	72.6238	-119.538	126.559	93.7854	91.3066	88.0756
8.9	0.0	868.33	0.0	0.0455505	33.2294	0	0	261.381	73.15	-120.754	126.233	93.4681	91.0397	87.81
8.8	0.0	868.33	0.0	0.0540374	37.793	0	0	261.821	71.8797	-121.933	125.993	93.1851	90.7852	87.5393
8.7	0.0	868.33	0.0	0.0590976	43.2018	0	0	261.913	71.3832	-123.074	125.75	92.9223	90.5325	87.2693
