year	CO2
20000	193.72
19900	194.89
19800	196.06
19700	193.6
19600	191.42
19500	188.95
19400	191.52
19300	191.55
19200	191.58
19100	191.09
19000	191.9
18900	192.71
18800	189.97
18700	191.27
18600	193.9
18500	188.12
18400	187.67
18300	188.02
18200	188.01999999999998
18100	187.49333333333334
18000	188.0533333333333
17900	189.47
17800	190.33
17700	189.72
17600	193.725
17500	193.38500000000002
17400	191.7825
17300	192.72333333333333
17200	197.08499999999998
17100	198.63
17000	202.1
16900	203.625
16800	205.19
16700	207.89
16600	213.15
16500	208.35333333333335
16400	213.96750000000003
16300	212.516
16200	219.44499999999996
16100	223.7375
16000	223.70333333333335
15900	223.8525
15800	222.36
15700	223.51
15600	222.76
15500	223.53
15400	224.005
15300	227.31666666666663
15200	228.07333333333335
15100	228.77333333333334
15000	229.3025
14900	228.64666666666668
14800	229.27875
14700	228.9944444444444
14600	235.84
14500	239.3475
14400	241.35399999999998
14300	239.15
14200	238.5525
14100	238.33333333333334
14000	236.98499999999999
13900	240.57
13800	238.515
13700	241.35000000000002
13600	241.205
13500	235.83
13400	239.04000000000002
13300	236.86
13200	239.915
13100	235.865
13000	238.48600000000002
12900	238.7075
12800	240.882
12700	242.6025
12600	245.15
12500	246.98749999999998
12400	246.1
12300	246.786
12200	249.30249999999998
12100	252.44199999999995
12000	250.0975
11900	254.554
11800	255.04000000000002
11700	256.582
11600	257.36400000000003
11500	265.76666666666665
11400	267.95200000000006
11300	265.4775
11200	264.85
11100	264.9
11000	264.8
10900	267.6
10800	265.55
10700	266.225
10600	266.9
10500	267.5
10400	266.2
10300	264.9
10200	265.7
10100	263.7
10000	264.0
9900	264.29999999999995
9800	263.74375
9700	263.1875
9600	262.63124999999997
9500	262.075
9400	265.2
9300	263.8
9200	263.7
9100	262.0
9000	259.3
8900	260.65
8800	260.525
8700	260.4
8600	260.54999999999995
8500	260.7
8400	261.3
8300	258.3
8200	258.875
8100	259.45000000000005
8000	259.725
7900	260.0
7800	259.7
7700	260.4
7600	260.1
7500	259.825
7400	259.54999999999995
7300	261.275
7200	263.0
7100	262.3
7000	257.6
6900	258.1
6800	262.9
6700	262.1
6600	259.4
6500	261.1
6400	261.2
6300	262.95
6200	263.8
6100	264.65
6000	265.5
5900	263.7
5800	265.5
5700	265.9
5600	266.15
5500	266.4
5400	266.425
5300	266.45000000000005
5200	269.8
5100	269.20000000000005
5000	268.6
4900	270.0
4800	270.75
4700	271.5
4600	269.8
4500	269.1
4400	271.1
4300	271.5
4200	272.20000000000005
4100	271.7
4000	273.29999999999995
3900	274.9
3800	273.45
3700	273.325
3600	273.2
3500	275.0
3400	274.0
3300	274.35
3200	274.70000000000005
3100	274.65000000000003
3000	274.6
2900	275.5
2800	275.3
2700	278.9
2600	273.9
2500	277.9
2400	277.6
2300	277.15
2200	276.7
2100	276.79999999999995
2000	276.9
1900	277.5333333333333
1800	277.6666666666667
1700	278.6266666666666
1600	280.2875
1500	278.545
1400	276.95000000000005
1300	277.736
1200	278.5133333333333
1100	279.21000000000004
1000	279.765
900	279.65000000000003
800	283.31999999999994
700	284.06666666666666
600	281.175
500	280.64250000000004
400	282.7275
300	277.7266666666667
200	277.2925
100	281.4552173913043
0	281.4552173913043
0	281.4552173913043
0	281.4552173913043
