# Deep South Atlantic carbonate chemistry and increased interocean deep water exchange during last deglaciation
# S Atlantic 5 km
top	btm	mid	Age-kyr	B/Ca	CO3-umol/kg
9	10	9.5	4.03	123.0	83.0
20	21	20.5	4.93	123.0	83.0
27	28	27.5	5.50	127.1	86.6
36	37	36.5	6.23	125.5	85.2
45	46	45.5	6.96	135.3	93.7
51	52	51.5	7.44	141.9	99.5
56	57	56.5	7.77	140.5	98.4
73	74.5	73.75	8.89	141.5	99.2
89	90	89.5	9.74	143.5	100.9
92	93	92.5	9.90	146.5	103.6
104	105	104.5	10.58	147.0	104.0
110	111	110.5	10.99	146.6	103.7
116	117	116.5	11.51	136.5	94.9
120	121	120.5	11.88	142.6	100.1
124	125	124.5	12.35	135.2	93.7
129	130	129.5	13.03	129.8	89.0
130	131	130.5	13.17	135.4	93.9
134	135	134.5	13.54	131.2	90.2
140	141	140.5	13.84	136.8	95.1
146	147	146.5	14.09	129.7	88.8
149	150	149.5	14.19	132.4	91.2
158	159	158.5	14.55	123.8	83.7
162	163	162.5	14.71	119.6	80.0
170	171	170.5	15.57	116.5	77.3
174	175	174.5	16.01	123.0	83.0
178	179	178.5	16.44	127.3	86.7
182	183	182.5	16.87	125.9	85.6
186	187	186.5	16.93	127.9	87.3
189	190	189.5	16.97	123.8	83.7
190	191	190.5	16.99	123.2	83.2
196	197	196.5	17.55	124.4	84.2
202	203	202.5	18.34	127.9	87.2
208	209	208.5	18.61	129.3	88.5
209	210	209.5	18.65	127.9	87.3
214	215	214.5	18.88	130.7	89.7
221	222	221.5	19.23	119.5	79.9
227	228	227.5	19.36	119.7	80.1
229	230	229.5	19.40	132.0	90.9
233	234	233.5	19.50	126.0	85.6
239	240	239.5	19.80	126.4	85.9
245	246	245.5	20.12	128.4	87.7
249	250	249.5	20.36	130.8	89.8
251	252	251.5	20.47	128.2	87.5
257	258	257.5	20.65	120.6	80.9
263	264	263.5	20.79	131.3	90.3
269	270	269.5	20.94	131.3	90.3
275	276	275.5	21.20	130.3	89.4
281	282	281.5	21.58	128.2	87.5
287	288	287.5	21.95	126.0	85.6
293	294	293.5	22.29	133.1	91.8
299	300	299.5	22.43	120.9	81.1
311	312	311.5	23.17	124.3	84.1
317	318	317.5	23.62	117.8	78.4
323	324	323.5	24.07	117.1	77.8
329	330	329.5	24.52	117.2	77.9
335	336	335.5	24.92	116.4	77.2
341	342	341.5	25.21	115.5	76.4
347	348	347.5	25.49	114.9	75.9
353	354	353.5	25.78	117.2	77.9
359	360	359.5	26.06	120.5	80.8
365	366	365.5	26.35	119.3	79.8
371	372	371.5	26.63	117.9	78.5
377	378	377.5	26.92	117.2	77.8
383	384	383.5	27.20	126.0	85.6
389	390	389.5	27.48	125.3	85.0
395	396	395.5	27.77	124.4	84.2
401	402	401.5	28.05	128.2	87.6
