# Responses of the deep ocean carbonate system to carbon reorganization during the Last Glacialeinterglacial cycle
# Central EQ Pacific 4.3 km
# umol/ kg 
Depth	Age-ka	B/Ca	avg B/Ca	sd B/Ca	DCO3	CO3	avg CO3	sd CO3
0	5.4	140.0	140.0		-18.4	79.6	79.6	
2	5.9	143.5	143.5		-15.3	82.6	82.6	
5	6.7	149.0	148.8	0.3	-10.5	87.5	87.3	0.3
5	6.7	148.6			-10.8	87.2		
7	7.2	150.1	152.6	3.6	-9.5	88.4	90.7	3.2
7	7.2	155.2			-5.1	92.9		
8	7.4	145.7	145.7		-13.4	84.6	84.6	
10	7.9	147.8	147.8		-11.6	86.4	86.4	
11	8.2	153.4	151.1	3.2	-6.6	91.4	89.3	2.8
11	8.2	148.8			-10.7	87.3		
12	8.4	147.2	147.2		-12.1	85.9	85.9	
15	9.2	148.1	148.1		-11.2	86.7	86.7	
16	9.4	155.7	155.7		-4.6	93.4	93.4	
17	9.7	151.6	151.6		-8.2	89.8	89.8	
18	9.9	154.5	154.5		-5.7	92.3	92.3	
22	11.0	147.0	147.0		-12.2	85.8	85.8	
25	11.9	152.4	152.4		-7.5	90.4	90.4	
26	12.2	145.0	142.8	3.0	-14.0	83.9	82.1	2.6
26	12.2	140.7			-17.8	80.2		
27	12.5	152.2	152.2		-7.7	90.3	90.3	
30	13.4	149.5	149.5		-10.1	87.9	87.9	
31	13.7	148.0	148.0		-11.3	86.6	86.6	
35	17.4	144.3	144.3		-14.6	83.4	83.4	
36	18.5	145.2	145.2		-13.8	84.2	84.2	
37	19.6	144.5	144.5		-14.4	83.6	83.6	
40	21.6	149.9	149.9		-9.7	88.3	88.3	
42	23.0	151.7	151.7		-8.1	89.9	89.9	
44	24.3	152.5	149.8	3.7	-7.5	90.5	88.2	3.3
44	24.3	147.2			-12.1	85.9		
45	25.0	156.8	156.8		-3.6	94.3	94.3	
47	26.3	152.8	152.8		-7.2	90.8	90.8	
50	27.8	153.4	153.4		-6.7	91.3	91.3	
51	28.3	152.3	155.5	4.5	-7.6	90.4	93.2	4.0
51	28.3	158.7			-2.0	96.0		
52	28.8	151.8	151.8		-8.0	90.0	90.0	
55	30.4	154.7	154.7		-5.5	92.5	92.5	
57	31.4	160.1	157.7	3.5	-0.7	97.3	95.1	3.0
57	31.4	155.2			-5.0	93.0		
60	32.9	154.3	154.3		-5.9	92.1	92.1	
62	33.9	151.8	151.8		-8.0	90.0	90.0	
63	34.4	158.0	158.0		-2.6	95.4	95.4	
65	35.5	153.5	153.5		-6.6	91.4	91.4	
67	36.5	159.2	154.6	4.6	-1.5	96.5	92.4	4.0
67	36.5	150.0			-9.6	88.4		
67	36.5	154.4			-5.7	92.3		
70	38.0	145.8	145.8		-13.3	84.7	84.7	
72	38.7	143.9	143.9		-15.0	83.0	83.0	
75	39.8	153.6	153.6		-6.5	91.5	91.5	
77	40.6	153.4	156.0	3.7	-6.6	91.4	93.7	3.2
77	40.6	158.6			-2.1	95.9		
80	41.7	146.8	146.8		-12.4	85.5	85.5	
82	42.4	152.0	152.0		-7.8	90.2	90.2	
83	42.8	160.0	160.2	0.2	-0.8	97.2	97.3	0.2
83	42.8	160.3			-0.6	97.4		
85	43.5	148.7	148.7		-10.7	87.2	87.2	
91	45.7	148.4	148.4		-11.0	87.0	87.0	
95	47.2	143.9	143.9		-15.0	83.0	83.0	
100	49.0	152.2	152.2		-7.7	90.3	90.3	
105	50.8	142.9	142.9		-15.8	82.1	82.1	
110	52.7	145.2	145.2		-13.8	84.2	84.2	
115	54.5	154.4	154.4		-5.8	92.2	92.2	
120	56.3	150.6	150.6		-9.1	88.9	88.9	
125	58.2	151.8	151.8		-8.1	89.9	89.9	
130	60.0	144.9	144.9		-14.1	83.9	83.9	
135	65.0	136.8	136.8		-21.2	76.8	76.8	
140	70.0	134.0	134.0		-23.6	74.4	74.4	
145	75.0	149.3	149.3		-10.2	87.8	87.8	
150	78.3	143.7	145.8	3.0	-15.1	82.9	84.7	2.6
150	78.3	147.9			-11.4	86.6		
155	81.7	128.0	129.7	2.5	-28.9	69.1	70.6	2.2
155	81.7	131.5			-25.8	72.2		
160	85.0	139.5	139.5		-18.8	79.2	79.2	
166	89.0	149.7	149.7		-9.9	88.1	88.1	
170	91.3	135.9	135.9		-21.9	76.0	76.0	
175	94.1	142.1	142.1		-16.5	81.4	81.4	
180	97.0	148.9	148.9		-10.5	87.4	87.4	
185	109.0	139.3	139.3		-19.0	79.0	79.0	
190	114.3	136.5	136.5		-21.4	76.6	76.6	
195	119.7	135.5	135.5		-22.3	75.7	75.7	
200	125.0	133.2	133.2		-24.4	73.6	73.6	
206	128.0	132.5	132.5		-24.9	73.0	73.0	
210	130.0	136.0	136.0		-21.9	76.1	76.1	
215	132.5	137.2	137.2		-20.9	77.1	77.1	
220	135.0	144.3	144.3		-14.6	83.4	83.4	
225	137.5	141.3	141.3		-17.2	80.7	80.7	
230	140.0	143.9	143.9		-15.0	83.0	83.0	
235	142.5	139.7	139.7		-18.6	79.4	79.4	
240	145.0	159.9	159.9		-0.9	97.1	97.1	
245	147.5	146.1	146.1		-13.1	84.9	84.9	
250	150.0	151.4	151.4		-8.4	89.6	89.6	
255	152.5	142.5	142.5		-16.2	81.8	81.8	
260	155.0	151.4	151.4		-8.4	89.6	89.6	
265	157.5	144.8	144.8		-14.2	83.8	83.8	
270	160.0	158.5	158.5		-2.1	95.8	95.8	
