Latitude	Longitude	depth.Maximum.Or.Single.Reported	Maximum Temperature	Full Spreading Rate (mm/a)	Node ID
13.0987	143.6886	2900	33	50.5	600
-19.4	169.9	980	-999	50	599
-62.1	158.8	2100	-999	65.1	633
-60	152.5	3200	-999	66.1	634
-20.7619	-176.191	2220	309	73.1	638
11.95	43.6667	1600	-999	19.1	639
12.0833	45.6667	800	-999	20.8	640
-59.721	-27.8571	520	-999	-999	610
1.7333	-102.283	2850	-999	114.1	641
20.42	145.03	60	-999	-999	642
29.461	129.597	5	-999	-999	604
23.3765	-108.5315	2304	300	47.5	1220
23.3553	-108.5443	2295	354	47.5	1221
23.3526	-108.5597	2249	355	47.5	1222
23.6423	-108.3948	2384	-999	47.5	1219
23.2336	-108.6168	2358	-999	47.5	1223
18.2167	144.6833	3640	287	31.6	643
36.3833	-33.65	2600	-999	20.5	644
-18.608	-113.4	2675	-999	147.2	645
-21.4	68.7666	3300	-999	44.7	816
-22.9666	69.1833	3500	-999	47	1299
12.9733	-44.8633	4200	355	26.2	646
12.9917	-44.9067	3300	-999	26.2	647
12.986	-44.861	4200	-999	26.2	648
12.97	-44.85	4530	-999	26.2	649
21.367	38.083	2200	67	14.1	650
82.8833	-6.25	4100	-999	13.1	651
45.9333	-130.014	1540	348	56	652
45.9892	-130.0272	1580	291	56	653
45.9266	-129.9795	1544	323	56	654
47.71	-127.787	2600	25	56.2	655
26.6667	-111.8333	15	92	-999	1082
-37.9	48.8	3000	-999	12.1	1292
-4.525	129.871	3	-999	-999	656
3.138	125.491	10	-999	-999	657
20	122	-999	-999	-999	658
31.9667	139.7333	900	-999	5.5	659
18.5466	-81.7182	4957	398	16.9	660
-37.7217	77.825	850	-999	64.4	661
-25.1667	-129.4	420	19	-999	662
29.17	-43.1717	3100	365	22.9	663
-34.8667	179.0667	1800	302	-999	664
46.0333	-130.55	1500	-999	56	665
37.8	-31.5333	1000	300	19.9	616
-21.415	-176.372	2100	-999	61.9	666
-21.32	-176.364	2100	-999	61.9	667
-21.27	-176.347	2230	-999	65	668
-20.99	-176.253	2270	-999	69.4	669
-20.95	-176.239	2230	-999	69.4	670
-20.87	-176.217	2230	-999	71.1	671
-21.107	-176.292	2300	-999	67.6	672
0.83	-89.6083	1660	-999	58	673
-37.68	177.117	200	200	9.2	674
40.7833	14.0833	20	-999	-999	675
40.0167	15.2667	30	25	-999	676
-1.6768	67.77	4500	-999	34.4	677
3.7	63.6666	3500	-999	30.2	636
3.6916	63.8333	3500	-999	30.2	637
6.05	60.95	3500	-999	27.7	678
-20.6667	-176.1833	2256	-999	73.1	679
10.4166	94.1666	3350	-999	39.5	608
10	94	1640	-999	39.5	609
44.7583	-130.275	2200	-999	55.9	626
-3.4199	150.1681	2500	-999	39.2	680
-19	173.5	3000	-999	78.4	681
20.81	144.705	875	-999	-999	682
15.25	-61.383	5	71	-999	683
-38.7167	-91.5667	3330	-999	56.9	684
-39.05	-91.5833	3450	-999	57	685
-46.3	-75.8	3000	-999	57.9	624
-46.2	-75.8333	3000	-999	57.9	623
-19.483	65.733	2700	-999	41.3	687
-8.25	68.2	3600	-999	33.2	1256
-9.9	66.75	4000	-999	33.6	1257
-10.66	66.5	3500	-999	34	1258
-10.9	66.7	3500	-999	34	1259
-11.2	66.5	3800	-999	34.4	1260
-11.3	66.4	3500	-999	34.4	1209
-12.25	65.7	4000	-999	34.8	1261
-12.6	66.1	3800	-999	35.4	1262
-14.3	66.1	3500	-999	36.7	1263
-14.75	66.5	3400	-999	37.9	627
-17	66.8	3100	-999	39.6	1264
-24	69.6667	2840	-999	47.8	688
-36.449	177.84	930	221	-999	689
-18.6	-176.45	2500	-999	87.9	690
-18.1333	-176.3667	2250	-999	85.2	691
-18.05	-176.3333	2250	-999	83.9	692
-18.1333	-176.2833	2250	-999	85.2	693
-17.8667	-176.3833	2250	-999	83.2	694
-18.5	-176.3833	2250	-999	87.9	695
-3.25	152.66	1050	-999	-999	697
30.6333	-113.9083	140	-999	44.8	698
28.45	128.75	350	-999	-999	1214
21.324	144.194	450	211	-999	699
26.302	126.4125	1370	315	-999	1324
-62.95	-60.65	100	-999	10	700
50.747	-130.8961	800	-999	56.3	701
-3.6958	151.8717	2000	120	142.5	702
-15.1666	-13.3558	2770	-999	33.9	1289
21.283	38.05	2100	45	14.1	703
-18.347	65.305	2730	356	40	704
38.23	-26.63	45	121	4.2	705
9.08	-87.095	3000	12	-999	1315
-59.4167	-27.3333	625	-999	-999	706
27.6833	140.8167	520	-999	-999	707
1.2267	-83.73	3500	-999	65.6	708
-37.6579	50.4671	1780	-999	11.9	1180
-15.45	-175.7	1170	-999	108.2	709
1.9058	-91.231	1600	-999	55.3	710
0.95	-90.53	1600	-999	56.7	711
44.217	-129.625	3460	64	55.9	712
15.93	145.67	457	242	-999	713
-15.0833	-173.6667	1300	-999	-999	714
-15.451	174.6902	3000	-999	31.7	715
-3.31	152.58	1450	-999	-999	716
-23.878	69.596	3320	382	47.8	717
27.62	-17.99	350	-999	-999	1217
-21.1667	-176.3333	2140	-999	65	718
38.625	14	600	-999	-999	719
38.58	14.1667	800	-999	-999	720
-16.687	168.4	320	-999	-999	686
11.5333	-103.86	2090	-999	95.8	721
-0.8	-102.46	2800	-999	127.3	722
-1.369	-102.456	3000	-999	128.1	723
10.033	-104.33	2560	-999	102.6	625
10.13	-104.33	2580	-999	102.6	724
-10.5667	-110.28	2900	-999	140.3	725
10.7433	-103.65	2580	-999	99.4	726
11.133	-103.78	2580	-999	97.4	727
11.2833	-103.7583	2560	-999	97.4	728
-11.3	-110.53	2650	262	141	729
11.4	-103.78	2580	-999	97.4	730
11.4833	-103.7833	2422	-999	95.8	731
11.7	-103.85	2580	-999	95.8	732
11.7775	-103.83	2580	-999	95.8	733
12.8333	-103.95	2630	380	91.1	734
12.709	-103.916	2650	260	91.1	735
12.7	-103.86	2500	-999	91.1	736
-14.3	-112.667	2630	-999	144.2	737
-14.583	-112.667	2630	-999	144.2	738
14.15	-104.3667	2600	-999	85.9	739
-13.9667	-112.4667	2635	374	143.9	740
-15.4	-112.835	2640	-999	145.1	741
-15	-112.77	2640	-999	144.7	742
-16.13	-113	2640	-999	145.5	743
-16.4	-113.05	2640	-999	145.8	744
-16.583	-113.06	2650	-999	145.8	745
-16.717	-113.068	2600	-999	146.1	746
-17.2	-113.15	2590	-999	146.4	747
-17.5667	-113.2333	2600	349	146.7	748
-17.7	-113.25	2600	-999	146.7	749
-17.733	-113.266	2622	350	146.7	750
-17.79	-113.3	2600	-999	146.7	751
-17.88	-113.3	2610	-999	146.7	752
-17.94	-113.317	2620	-999	146.7	753
-17	-113.117	2680	-999	146.1	754
-18.17	-113.344	2700	305	147	755
-18.25	-113.35	2680	310	147	756
-18.4333	-113.3833	2650	382	147	757
-18.555	-113.416	2647	55	147.2	758
-2.22	-102.655	2900	-999	129.2	759
-2.084	-102.827	3000	-999	129.2	760
-20.1	-113.708	3000	-999	148.1	761
-20.0333	-113.6843	3000	-999	148.1	762
-21.367	-114.257	2900	-999	148.7	763
-21.4333	-114.2917	2850	354	148.7	764
-21.634	-114.301	2730	-999	149	765
-21.9	-114.5	2800	-999	149	766
20.8333	-109.0833	2600	355	61.8	767
-22.5	-114.367	2600	-999	123.3	768
-23.5333	-115.5667	2600	297	109	769
-23.8233	-115.4558	2650	-999	102.6	770
-26.205	-112.6133	2600	-999	100.5	771
-26.4833	-112.625	2064	-999	106.2	772
-27.7	-112.917	2105	-999	150.8	773
-27.867	-112.912	2180	-999	150.8	774
-28.017	-112.904	2130	-999	150.8	775
-28.3	-112.983	2220	-999	150.9	776
-28.417	-112.964	2350	-999	150.9	777
-28.7	-112.988	2350	-999	150.9	778
-29.5	-111.72	2580	-999	151	779
-29.8	-111.73	2580	-999	151.1	780
3.917	-102.233	2875	-999	121.4	781
-30.133	-111.764	2480	-999	151.1	782
-30.375	-111.764	2320	-999	151.1	783
-30.75	-111.877	2360	-999	151.2	784
-31.433	-111.967	2350	-999	151.2	785
-37.6667	-110.8667	2240	-999	93.9	786
-37.8	-110.9167	2200	326	93.6	787
-5	-106.4	2650	-999	133.3	788
-7.4167	-107.8	2750	340	136.6	789
-7	-107.55	2600	-999	136.2	790
8.6333	-104.2	2550	-999	105.2	791
8.9	-104.2	2580	-999	105.2	792
9.28	-104.2166	2585	388	102.6	793
9.5167	-104.2414	2580	263	102.6	794
9.5583	-104.25	2574	-999	102.6	795
9.65	-104.26	2572	-999	102.6	796
9.775	-104.2802	2560	403	102.6	797
9.83	-104.29	2520	386	102.6	798
18.25	-106.3	2600	-999	77.7	799
17	-105.38	2750	-999	77.4	800
17.67	-105.005	2800	-999	74.6	801
-20.8333	-114.1667	3000	-999	148.5	802
-20.3333	-113.6792	3050	-999	148.3	803
13	-103.5	1100	-999	91.1	804
15.5	-105.4	2300	-999	82.1	805
16.58	-105.3	2700	-999	77.4	806
22.9333	-108.0667	3200	-999	47.8	807
14.9667	145.25	323	78	-999	808
38.55	-28.6	50	35	-999	1204
-56.0917	-30.325	2641	352	66.2	809
-57.5	-30.2	3000	-999	70.3	810
-60.05	-29.93	2402	380	79.1	811
48.1993	-128.9257	2500	-999	56.2	812
18.35	-81.85	2400	-999	16.9	813
-22	170.75	1600	-999	-999	814
37.2667	-32.2833	1775	-999	20.2	815
50.1	-129.75	3200	-999	56.3	817
-16.1667	177.4167	2335	-999	68.8	818
1.941	-91.31	1555	-999	55.3	819
65.85	-18.1333	65	77	18.3	820
10.9267	-103.6767	2520	347	99.4	821
46.3133	-129.705	2290	22	56.1	822
46.525	-129.5783	2390	51	56.1	823
13.4	143.9166	1470	210	-999	824
-9.9083	151.83	2366	-999	23.9	825
-16.4917	-174.5417	2419	-999	79.7	826
-17.5352	-174.5668	1550	254	56.5	1276
-17.025	-174.5017	1650	-999	68.5	827
-16.6667	-174.5167	1820	-999	75.4	828
21.93	143.47	1100	-999	-999	829
24.8674	123.3081	1270	291	49	1323
85.0167	7.45	3600	-999	12.3	830
85.65	84.8333	3900	-999	10.1	831
83.85	-2	3900	-999	12.7	832
84.4333	2.1333	4300	-999	12.5	833
86.35	37	3600	-999	11.3	834
86.5333	43	3000	-999	11.2	835
86.9833	55.5	3800	-999	10.9	836
