Ocean basin and water mass (along density surfaces; see text),calendar age bin (years BP),binned mean (all samples),binned standard deviation (all samples),n (all samples),binned mean (no outliers),binned standard deviation (no outliers),n (no outliers),loess_fit,loess_upr95,loess_lwr95,loess_upr68,loess_lwr68,loess_se
ATLANTIC BOTTOM,250,-142.0866591,0.218227153,2,-142.0866591,0.218227153,2,-160.7731217,-82.46796024,-233.6078083,-137.3024133,-180.3853961,0.1543099
ATLANTIC BOTTOM,750,NA,NA,0,NA,NA,0,-151.3353781,-83.6873175,-222.2388283,-133.3565728,-168.5265507,NA
ATLANTIC BOTTOM,1250,-153.9460902,34.32309023,2,-153.9460902,34.32309023,2,-138.915341,-79.62353891,-197.0958911,-120.8554254,-154.5298768,24.27008985
ATLANTIC BOTTOM,1750,NA,NA,0,NA,NA,0,-128.1278647,-77.14662508,-182.0946625,-114.2998894,-143.3102834,NA
ATLANTIC BOTTOM,2250,-129.5707113,35.18607098,4,-129.5707113,35.18607098,4,-117.3864128,-65.87028703,-167.525385,-103.3446542,-131.5045869,17.59303549
ATLANTIC BOTTOM,2750,NA,NA,0,NA,NA,0,-105.2516749,-60.79011164,-153.81689,-93.70652552,-119.6950459,NA
ATLANTIC BOTTOM,3250,NA,NA,0,NA,NA,0,-96.53866362,-47.68366039,-145.98533,-83.77208222,-110.5315927,NA
ATLANTIC BOTTOM,3750,-94.45900377,13.73502552,3,-94.45900377,13.73502552,3,-86.04039466,-34.47870926,-135.3255595,-72.22039315,-100.4683687,7.929920679
ATLANTIC BOTTOM,4250,NA,NA,0,NA,NA,0,-76.01076944,-23.3692606,-130.9507062,-60.65480705,-91.35769692,NA
ATLANTIC BOTTOM,4750,-6.784529256,NA,1,NA,NA,1,-68.23706701,-15.97582691,-121.4368095,-54.11408112,-82.96634089,NA
ATLANTIC BOTTOM,5250,NA,NA,0,NA,NA,0,-61.44505045,1.723600201,-113.5880392,-47.11082527,-76.90777054,NA
ATLANTIC BOTTOM,5750,NA,NA,0,NA,NA,0,-51.98676952,7.179711305,-108.9311306,-36.5097865,-68.47720575,NA
ATLANTIC BOTTOM,6250,NA,NA,0,NA,NA,0,-44.5328938,16.27135859,-107.9104103,-28.86744601,-61.43466931,NA
ATLANTIC BOTTOM,6750,-16.53544926,70.93845533,3,-16.53544926,70.93845533,3,-38.39736313,23.47938475,-106.0417715,-22.78020199,-54.54817633,40.95633628
ATLANTIC BOTTOM,7250,-41.77461259,99.3150528,2,-41.77461259,99.3150528,2,-33.43721269,28.37358209,-95.83871346,-17.91696978,-48.62007615,70.22634731
ATLANTIC BOTTOM,7750,NA,NA,0,NA,NA,0,-29.20384619,38.49831517,-99.00769364,-13.0983482,-46.17628655,NA
ATLANTIC BOTTOM,8250,NA,NA,0,NA,NA,0,-26.56651697,44.67088265,-91.59973434,-9.842734083,-41.88675761,NA
